 369806.673781 ,  1
 369806.673786 ,  1
 369806.673789 ,  6
 369806.673810 ,  70
 369806.674275 ,  167
 369806.691252 ,  98
 369806.691341 ,  1
 369806.691349 ,  1
 369806.691353 ,  5
 369806.691357 ,  44
 369806.691445 ,  7
 369806.691491 ,  401
 369806.691556 ,  671
 369806.691897 ,  911
 369806.692754 ,  1
 369806.692761 ,  1
 369806.692764 ,  6
 369806.692769 ,  55
 369806.694013 ,  1
 369806.696437 ,  379
 369806.697464 ,  1
 369806.697477 ,  8
 369806.697522 ,  37
 369806.697566 ,  6
 369806.697675 ,  691
 369806.700046 ,  6
 369806.700050 ,  72
 369806.700153 ,  21
 369806.700164 ,  103
 369806.701544 ,  306
 369806.702670 ,  284
 369806.703239 ,  258
 369806.704323 ,  241
 369806.706240 ,  174
 369806.706687 ,  169
 369806.707138 ,  161
 369806.707147 ,  153
 369806.707609 ,  655
 369806.709283 ,  619
 369806.711382 ,  1
 369806.711392 ,  5
 369806.711395 ,  53
 369806.712234 ,  499
 369806.713486 ,  1
 369806.722327 ,  51
 369806.737561 ,  1
 369806.737579 ,  1
 369806.737594 ,  1
 369806.737619 ,  1
 369806.737622 ,  2
 369806.737640 ,  1
 369806.737643 ,  231
 369806.737649 ,  1
 369806.737656 ,  2
 369806.737659 ,  11
 369806.737660 ,  6
 369806.737687 ,  68
 369806.737765 ,  1
 369806.737773 ,  1
 369806.737780 ,  5
 369806.737789 ,  25
 369806.737874 ,  1
 369806.737884 ,  1
 369806.737915 ,  114
 369806.737980 ,  1
 369806.737992 ,  1
 369806.738000 ,  4
 369806.738010 ,  19
 369806.740604 ,  1579
 369806.741469 ,  138
 369806.741493 ,  776
 369806.743504 ,  433
 369806.743507 ,  165
 369806.744062 ,  110
 369806.745500 ,  371
 369806.745557 ,  357
 369806.749237 ,  480
 369806.750187 ,  130
 369806.750351 ,  116
 369806.750377 ,  124
 369806.750399 ,  258
 369806.750447 ,  595
 369806.750545 ,  908
 369806.750708 ,  1086
 369806.750956 ,  1158
 369806.760160 ,  45
 369806.760269 ,  7
 369806.760282 ,  77
 369806.760336 ,  253
 369806.760405 ,  82
 369806.761487 ,  6
 369806.761491 ,  15
 369806.761496 ,  145
 369806.770432 ,  1
 369806.770446 ,  48
 369806.770465 ,  406
 369806.770822 ,  603
 369806.825480 ,  21
 369806.861496 ,  20
 369806.863158 ,  19
 369806.870278 ,  16
 369806.873471 ,  14
 369806.874307 ,  14
 369806.877473 ,  19
 369806.886435 ,  14
 369806.887779 ,  14
 369806.889476 ,  14
 369806.890472 ,  14
 369806.893473 ,  15
 369806.898454 ,  14
 369806.905473 ,  14
 369806.910656 ,  14
 369806.918683 ,  14
 369806.923483 ,  14
 369806.930780 ,  14
 369806.938705 ,  14
 369806.950630 ,  14
 369806.953485 ,  14
 369806.957478 ,  14
 369806.958580 ,  14
 369806.962468 ,  14
 369806.969481 ,  14
 369806.974570 ,  14
 369806.978461 ,  14
 369806.986182 ,  14
 369806.990097 ,  14
 369806.994015 ,  14
 369806.997745 ,  14
 369807.001480 ,  14
 369807.009489 ,  14
 369807.017773 ,  1
 369807.017780 ,  14
 369807.018256 ,  31
 369807.018374 ,  35
 369807.018504 ,  40
 369807.018591 ,  45
 369807.018713 ,  56
 369807.018764 ,  14
 369807.019127 ,  68
 369807.019300 ,  68
 369807.019358 ,  33
 369807.019709 ,  73
 369807.020087 ,  21
 369807.020498 ,  74
 369807.020648 ,  72
 369807.020862 ,  78
 369807.021075 ,  80
 369807.021312 ,  82
 369807.021479 ,  19
 369807.021630 ,  82
 369807.022192 ,  81
 369807.022398 ,  77
 369807.022835 ,  81
 369807.023041 ,  83
 369807.023228 ,  86
 369807.023488 ,  90
 369807.023529 ,  42
 369807.024126 ,  90
 369807.024413 ,  84
 369807.024638 ,  84
 369807.024774 ,  21
 369807.024858 ,  86
 369807.025140 ,  88
 369807.025418 ,  88
 369807.025886 ,  87
 369807.026189 ,  83
 369807.026387 ,  82
 369807.026580 ,  85
 369807.026823 ,  89
 369807.027074 ,  90
 369807.027314 ,  66
 369807.027351 ,  90
