0.0 , 1
0.01 , 2
0.02 , 0
0.03 , 0
0.04 , 3
0.05 , 3
0.06 , 5721
0.07 , 2481
0.08 , 856
0.09 , 1227
0.1 , 645
0.11 , 339
0.12 , 1397
0.13 , 1920
0.14 , 1323
0.15 , 812
0.16 , 1807
0.17 , 528
0.18 , 490
0.19 , 965
0.2 , 801
0.21 , 822
0.22 , 518
0.23 , 1339
0.24 , 178
0.25 , 524
0.26 , 352
0.27 , 872
0.28 , 779
0.29 , 1021
0.3 , 1792
0.31 , 1493
0.32 , 1455
0.33 , 2930
0.34 , 1375
0.35 , 1656
0.36 , 1336
0.37 , 601
0.38 , 1009
0.39 , 556
0.4 , 848
0.41 , 1114
0.42 , 1078
0.43 , 518
0.44 , 537
0.45 , 349
