0.0 , 1
0.01 , 251
0.02 , 0
0.03 , 4953
0.04 , 3782
0.05 , 7867
0.06 , 5734
0.07 , 3152
0.08 , 570
0.09 , 517
0.1 , 0
0.11 , 0
0.12 , 12401
0.13 , 4974
0.14 , 2326
0.15 , 2595
0.16 , 4061
0.17 , 7086
0.18 , 3520
0.19 , 4901
0.2 , 6628
0.21 , 3807
0.22 , 7775
0.23 , 6035
0.24 , 4231
0.25 , 11356
0.26 , 4784
0.27 , 6786
0.28 , 2772
0.29 , 2254
0.3 , 4514
0.31 , 3680
0.32 , 3090
0.33 , 7668
0.34 , 4840
0.35 , 4793
0.36 , 10418
0.37 , 8821
0.38 , 4543
0.39 , 6983
0.4 , 11613
0.41 , 10211
0.42 , 7109
0.43 , 11164
0.44 , 13344
0.45 , 6132
0.46 , 13715
0.47 , 10085
0.48 , 9364
0.49 , 7115
0.5 , 10220
0.51 , 34077
0.52 , 6290
0.53 , 1849
0.54 , 8680
0.55 , 4405
0.56 , 13240
0.57 , 12924
0.58 , 15492
0.59 , 11255
0.6 , 9828
0.61 , 13478
0.62 , 7548
0.63 , 14241
0.64 , 11261
0.65 , 10201
0.66 , 6830
0.67 , 8509
0.68 , 11355
0.69 , 7662
0.7 , 6516
0.71 , 7196
0.72 , 5205
0.73 , 9709
0.74 , 5187
0.75 , 6709
0.76 , 12416
0.77 , 6413
0.78 , 5252
0.79 , 1876
0.8 , 4423
0.81 , 1662
0.82 , 3501
0.83 , 167
0.84 , 473
0.85 , 2676
0.86 , 213
0.87 , 10583
0.88 , 4550
0.89 , 2874
0.9 , 0
0.91 , 0
0.92 , 0
0.93 , 0
0.94 , 0
0.95 , 0
0.96 , 0
0.97 , 0
0.98 , 0
0.99 , 0
1.0 , 6771
1.01 , 10199
1.02 , 2314
1.03 , 1441
1.04 , 1978
1.05 , 827
1.06 , 856
1.07 , 492
1.08 , 388
1.09 , 123
1.1 , 244
1.11 , 252
1.12 , 644
1.13 , 1608
1.14 , 397
1.15 , 692
1.16 , 1874
1.17 , 2165
1.18 , 9449
1.19 , 2577
1.2 , 18656
1.21 , 22551
1.22 , 5149
1.23 , 2420
1.24 , 6270
1.25 , 5651
1.26 , 3921
1.27 , 344
1.28 , 3023
1.29 , 1840
1.3 , 2032
1.31 , 2814
1.32 , 2949
1.33 , 1347
1.34 , 5889
1.35 , 1850
1.36 , 3916
1.37 , 1429
1.38 , 4162
1.39 , 1866
1.4 , 12018
1.41 , 5039
1.42 , 1741
1.43 , 2093
1.44 , 3139
1.45 , 4447
1.46 , 949
1.47 , 5528
1.48 , 1192
1.49 , 3407
1.5 , 1133
1.51 , 3255
1.52 , 3886
1.53 , 2189
1.54 , 3570
1.55 , 1839
1.56 , 8309
1.57 , 7327
1.58 , 3589
1.59 , 7743
1.6 , 7911
1.61 , 8940
1.62 , 7305
1.63 , 2672
1.64 , 10910
1.65 , 5558
1.66 , 8043
1.67 , 8711
1.68 , 4281
1.69 , 13482
1.7 , 8371
1.71 , 8684
1.72 , 7409
1.73 , 5275
1.74 , 5437
1.75 , 10806
1.76 , 17964
1.77 , 2695
1.78 , 7736
1.79 , 4886
1.8 , 6478
1.81 , 9505
1.82 , 5962
1.83 , 2872
1.84 , 8394
1.85 , 10827
1.86 , 56605
1.87 , 60019
1.88 , 64284
1.89 , 65417
1.9 , 65300
1.91 , 65196
1.92 , 65513
1.93 , 67165
1.94 , 65828
1.95 , 67046
1.96 , 68198
1.97 , 67673
1.98 , 68930
1.99 , 65409
2.0 , 69327
2.01 , 66888
2.02 , 66432
2.03 , 67991
2.04 , 67578
2.05 , 69202
2.06 , 71003
2.07 , 65203
2.08 , 66798
2.09 , 68055
2.1 , 68064
2.11 , 72015
2.12 , 72111
2.13 , 69215
2.14 , 68022
2.15 , 69603
2.16 , 68773
2.17 , 71496
2.18 , 69429
2.19 , 70312
2.2 , 72457
2.21 , 70792
2.22 , 71745
2.23 , 73368
2.24 , 69746
2.25 , 70177
